pincode,district,state_name,state_code
756001,Baleswar,Odisha,OD
756002,Baleswar,Odisha,OD
756003,Baleswar,Odisha,OD
756019,Baleswar,Odisha,OD
756020,Baleswar,Odisha,OD
756021,Baleswar,Odisha,OD
756022,Baleswar,Odisha,OD
756023,Baleswar,Odisha,OD
756024,Baleswar,Odisha,OD
756025,Baleswar,Odisha,OD
756026,Baleswar,Odisha,OD
756027,Baleswar,Odisha,OD
756028,Baleswar,Odisha,OD
756029,Baleswar,Odisha,OD
756030,Baleswar,Odisha,OD
756032,Baleswar,Odisha,OD
756033,Baleswar,Odisha,OD
756034,Baleswar,Odisha,OD
756035,Baleswar,Odisha,OD
756036,Baleswar,Odisha,OD
756037,Baleswar,Odisha,OD
756038,Baleswar,Odisha,OD
756039,Baleswar,Odisha,OD
756040,Baleswar,Odisha,OD
756041,Baleswar,Odisha,OD
756042,Baleswar,Odisha,OD
756043,Baleswar,Odisha,OD
756044,Baleswar,Odisha,OD
756045,Baleswar,Odisha,OD
756046,Baleswar,Odisha,OD
756047,Baleswar,Odisha,OD
756048,Baleswar,Odisha,OD
756049,Baleswar,Odisha,OD
756051,Baleswar,Odisha,OD
756055,Baleswar,Odisha,OD
756056,Baleswar,Odisha,OD
756058,Baleswar,Odisha,OD
756059,Baleswar,Odisha,OD
756060,Baleswar,Odisha,OD
756079,Baleswar,Odisha,OD
756080,Baleswar,Odisha,OD
756081,Baleswar,Odisha,OD
756083,Baleswar,Odisha,OD
756084,Baleswar,Odisha,OD
756085,Baleswar,Odisha,OD
756086,Baleswar,Odisha,OD
756100,Bhadrak,Odisha,OD
756101,Bhadrak,Odisha,OD
756111,Bhadrak,Odisha,OD
756112,Bhadrak,Odisha,OD
756113,Bhadrak,Odisha,OD
756114,Bhadrak,Odisha,OD
756115,Bhadrak,Odisha,OD
756116,Bhadrak,Odisha,OD
756117,Bhadrak,Odisha,OD
756118,Bhadrak,Odisha,OD
756119,Bhadrak,Odisha,OD
756120,Bhadrak,Odisha,OD
756121,Bhadrak,Odisha,OD
756122,Bhadrak,Odisha,OD
756123,Bhadrak,Odisha,OD
756124,Bhadrak,Odisha,OD
756125,Bhadrak,Odisha,OD
756126,Baleswar,Odisha,OD
756127,Bhadrak,Odisha,OD
756128,Bhadrak,Odisha,OD
756129,Bhadrak,Odisha,OD
756130,Bhadrak,Odisha,OD
756131,Bhadrak,Odisha,OD
