pincode,bank_branches_per_lakh,deposits_per_capita
518464,19.7,179847.0
518466,20.4,179847.0
518467,19.9,179847.0
518468,20.2,179847.0
518501,20.0,179847.0
518502,19.7,179847.0
518508,20.2,179847.0
518510,19.9,179847.0
518511,19.6,179847.0
518512,19.7,179847.0
518513,19.7,179847.0
518523,19.9,179847.0
518533,19.9,179847.0
518543,18.8,179847.0
518553,20.3,179847.0
518563,20.0,179847.0
518573,20.4,179847.0
518583,20.3,179847.0
518593,20.2,179847.0
518594,20.2,179847.0
518598,20.6,179847.0
518599,20.5,179847.0
518674,17.5,179847.0
520001,19.0,179847.0
520002,19.8,179847.0
520003,17.6,179847.0
520004,17.9,179847.0
520007,17.7,179847.0
520008,18.1,179847.0
520010,17.9,179847.0
520011,18.0,179847.0
520012,19.1,179847.0
520013,19.2,179847.0
520015,17.1,179847.0
521001,17.7,179847.0
521002,18.2,179847.0
521003,18.2,179847.0
521101,18.8,179847.0
521102,19.5,179847.0
521104,18.4,179847.0
521105,18.8,179847.0
521106,19.8,179847.0
521107,19.1,179847.0
521108,18.9,179847.0
521109,19.2,179847.0
521110,19.5,179847.0
521111,19.5,179847.0
521120,19.3,179847.0
521121,19.0,179847.0
521122,19.0,179847.0
