state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
BIHAR,KISHANGANJ,3884.0,3888.0,3784.0,3590.0,10.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,GUNA,3882.0,3712.0,4113.0,3066.0,10.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JHARKHAND,KODARMA,3874.0,3592.0,4591.0,2978.0,10.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,GONDA,3871.0,3787.0,5316.0,3335.0,10.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,DUNGARPUR,3870.0,3391.0,6748.0,2955.0,10.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,DEORIA,3862.0,3872.0,3263.0,3468.0,10.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,BHOJPUR,3850.0,3490.0,5471.0,3165.0,10.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,KUSHINAGAR,3840.0,3644.0,5281.0,3294.0,10.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,DARBHANGA,3839.0,3737.0,4453.0,3381.0,10.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,SANT KABIR NAGAR,3838.0,3757.0,4487.0,3164.0,10.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JAMMU AND KASHMIR,KUPWARA,3836.0,3568.0,4879.0,3166.0,10.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,SHEOHAR,3835.0,3835.0,0,3475.0,10.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
CHHATTISGARH,MAHASAMUND,3835.0,3568.0,9311.0,2999.0,10.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,SHAHJAHANPUR,3830.0,3355.0,5152.0,2979.0,10.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,GANJAM,3824.0,3702.0,4924.0,2842.0,10.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,BALRAMPUR,3804.0,3810.0,3617.0,3342.0,10.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,GULBARGA,3803.0,3453.0,4399.0,3213.0,10.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JHARKHAND,LATEHAR,3797.0,3666.0,4514.0,3185.0,9.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
CHHATTISGARH,KORIYA,3794.0,3498.0,4703.0,2857.0,9.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,DOHAD,3792.0,3639.0,7939.0,3380.0,9.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,SEONI,3785.0,3682.0,5505.0,3369.0,9.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,KATNI,3784.0,2919.0,5852.0,3107.0,9.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,SAMASTIPUR,3779.0,3742.0,5692.0,3362.0,9.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,KANNAUJ,3776.0,3584.0,4017.0,3246.0,9.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,NARMADA,3776.0,3776.0,0,3299.0,9.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,MAHRAJGANJ,3768.0,3674.0,4861.0,3274.0,9.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,SHEOPUR,3749.0,3542.0,4413.0,3446.0,9.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,UNNAO,3742.0,3263.0,5339.0,2768.0,9.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,AZAMGARH,3739.0,3727.0,3870.0,3366.0,9.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,DEBAGARH,3731.0,3731.0,0,3399.0,9.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,BANSWARA,3710.0,2730.0,6264.0,3040.0,9.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
