pincode,per_capita_income_karnataka
585421,120399.42857142857
585436,120399.42857142857
585437,120399.42857142857
585443,120399.42857142857
585444,120399.42857142857
586101,119939.08333333333
586102,119939.08333333333
586103,119939.08333333333
586104,119939.08333333333
586108,119939.08333333333
586109,119939.08333333333
586111,119939.08333333333
586112,119939.08333333333
586113,119939.08333333333
586114,119939.08333333333
586115,119939.08333333333
586116,119939.08333333333
586117,119939.08333333333
586118,119939.08333333333
586119,119939.08333333333
586120,119939.08333333333
586121,119939.08333333333
586122,119939.08333333333
586123,119939.08333333333
586124,119939.08333333333
586125,119939.08333333333
586127,119939.08333333333
586128,119939.08333333333
586129,119939.08333333333
586130,119939.08333333333
586201,119939.08333333333
586202,119939.08333333333
586203,119939.08333333333
586204,119939.08333333333
586205,119939.08333333333
586206,119939.08333333333
586207,119939.08333333333
586208,119939.08333333333
586209,119939.08333333333
586210,119939.08333333333
586211,119939.08333333333
586212,119939.08333333333
586213,119939.08333333333
586214,119939.08333333333
586215,119939.08333333333
586216,119939.08333333333
586217,119939.08333333333
587101,168845.375
587102,168845.375
587103,168845.375
587104,168845.375
587111,168845.375
587112,168845.375
587113,168845.375
587114,168845.375
587115,168845.375
587116,168845.375
587117,168845.375
587118,168845.375
587119,168845.375
587120,168845.375
587121,168845.375
587122,168845.375
587124,168845.375
587125,168845.375
587154,168845.375
587155,168845.375
587201,168845.375
587202,168845.375
587203,168845.375
587204,168845.375
587205,168845.375
587206,168845.375
587207,168845.375
587301,168845.375
587311,168845.375
587312,168845.375
587313,168845.375
587314,168845.375
587315,168845.375
587316,168845.375
587330,168845.375
590001,118975.58333333333
590003,118975.58333333333
590005,118975.58333333333
590006,118975.58333333333
590008,118975.58333333333
590009,118975.58333333333
590010,118975.58333333333
590011,118975.58333333333
590014,118975.58333333333
590015,118975.58333333333
590016,118975.58333333333
590017,118975.58333333333
590018,118975.58333333333
590019,118975.58333333333
590020,118975.58333333333
591101,118975.58333333333
591102,118975.58333333333
591103,118975.58333333333
591104,118975.58333333333
591106,118975.58333333333
591107,118975.58333333333
591108,118975.58333333333
591109,118975.58333333333
591110,118975.58333333333
591111,118975.58333333333
591112,118975.58333333333
591113,118975.58333333333
591114,118975.58333333333
591115,118975.58333333333
591116,118975.58333333333
